ID,Name,Age,Photo,Nationality,Club,Club Logo,Position,Jersey Number,Height,Weight
221639,Mariano,24,https://cdn.sofifa.org/players/4/19/221639.png,Dominican Republic,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,ST,7,5'11,168lbs
226161,Marcos Llorente,23,https://cdn.sofifa.org/players/4/19/226161.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,CDM,18,6'0,161lbs
177644,Kiko Casilla,31,https://cdn.sofifa.org/players/4/19/177644.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,GK,13,6'3,190lbs
225161,Vallejo,21,https://cdn.sofifa.org/players/4/19/225161.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,CB,3,6'0,174lbs
238794,Vinícius Júnior,17,https://cdn.sofifa.org/players/4/19/238794.png,Brazil,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,LW,28,5'9,161lbs
239053,F. Valverde,19,https://cdn.sofifa.org/players/4/19/239053.png,Uruguay,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,CM,5,6'0,172lbs
245279,Reguilón,21,https://cdn.sofifa.org/players/4/19/245279.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,LB,23,5'10,150lbs
245238,Javi Sánchez,21,https://cdn.sofifa.org/players/4/19/245238.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,CB,31,6'2,170lbs
225105,Cristo González,20,https://cdn.sofifa.org/players/4/19/225105.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,ST,27,5'10,163lbs
241467,F. Feuillassier,20,https://cdn.sofifa.org/players/4/19/241467.png,Argentina,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,LW,34,5'8,152lbs
246608,Fidalgo,21,https://cdn.sofifa.org/players/4/19/246608.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,CM,36,5'9,150lbs
245287,Sergio López,19,https://cdn.sofifa.org/players/4/19/245287.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,RB,32,5'10,146lbs
246606,Fran García,18,https://cdn.sofifa.org/players/4/19/246606.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,LB,37,5'7,139lbs
243155,Manu Hernando,19,https://cdn.sofifa.org/players/4/19/243155.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,CB,33,5'11,170lbs
243315,Dani Gómez,19,https://cdn.sofifa.org/players/4/19/243315.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,ST,38,5'10,154lbs
240311,L. Zidane,20,https://cdn.sofifa.org/players/4/19/240311.png,France,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,GK,30,6'0,170lbs
158023,L. Messi,31,https://cdn.sofifa.org/players/4/19/158023.png,Argentina,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,RF,10,5'7,159lbs
20801,Cristiano Ronaldo,33,https://cdn.sofifa.org/players/4/19/20801.png,Portugal,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,ST,7,6'2,183lbs
176580,L. Suárez,31,https://cdn.sofifa.org/players/4/19/176580.png,Uruguay,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,RS,9,6'0,190lbs
200389,J. Oblak,25,https://cdn.sofifa.org/players/4/19/200389.png,Slovenia,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,GK,1,6'2,192lbs
188545,R. Lewandowski,29,https://cdn.sofifa.org/players/4/19/188545.png,Poland,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,ST,9,6'0,176lbs
182493,D. Godín,32,https://cdn.sofifa.org/players/4/19/182493.png,Uruguay,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,CB,10,6'2,172lbs
211110,P. Dybala,24,https://cdn.sofifa.org/players/4/19/211110.png,Argentina,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,LF,21,5'10,165lbs
194765,A. Griezmann,27,https://cdn.sofifa.org/players/4/19/194765.png,France,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,CAM,7,5'9,161lbs
192448,M. ter Stegen,26,https://cdn.sofifa.org/players/4/19/192448.png,Germany,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,GK,22,6'2,187lbs
189511,Sergio Busquets,29,https://cdn.sofifa.org/players/4/19/189511.png,Spain,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,CDM,5,6'2,168lbs
